标题,介绍
谷登机械GD5000-LL型水平定向钻,动力源：主动力为东风康明斯392kw/2100rPm柴油机2台，根据工况需要可启动单机而不影响连续工作。如两 台发动机同时工作，可实现最大扭矩、最高转速、最大推拉力、最高推拉速度……
威猛V750水平定向钻机,V750 by VBM Navigator?水平导向钻机，借助179千瓦东风康明斯发动机的强大动力，以及配备优质的液压组件，75吨级V750能够在各种有同要求的项目中大显身手……
中联重科KSD25B型干湿两用水平定向钻孔机,性能参数达到国际先进水平，最大回拖力25t，最大扭矩11500N.m，最大扭矩对应的最高转速48rpm，最高转速110rpm……
北方交通ZDY3500L近水平定向钻机, 本煤层钻孔抽采;开掘瓦斯抽采巷道，穿层钻孔抽采邻近层瓦斯;直接在工作面或顶板布置走向，采用定向长钻孔技术，抽采本煤层和邻近层赋存的瓦斯……
中海恒通HT-120L非开挖定向钻机,2012新款HT-120L钻机新增特点&gt;&gt;2012新款钻机增设动力分配箱，增加液压动力源，钻孔参数与功率更加匹配，提高作业效率和功率利用……
德航重工DH280B-L水平定向钻,……
威猛D16X20a水平定向钻机,"长度 188"" (478cm) 宽度 36-49"" (91-124cm) 高度 86.5"" (219.7cm) 操作重量 7,500 lbs (3,402 kg) 最大主轴扭矩 2……"
钻通ZT-400型非开挖铺管钻机,一、概述ZT-400型非开挖铺管钻机为分体结构，易运输;该机全液压驱动，性能可靠，操作方便，适应性强。整机分为三大块：钻架、动力站、控向室……
徐工XZ3000水平定向钻,?驾驶室：垂直升降式驾驶室，视野开阔，带冷暖空调，操作舒适。?发动机：双动力系统，任一发动机均可单独完成整车全部动作……
德威土行孙DDW-150E水平定向钻,该定向钻机为橡胶履带底盘，体积小，移动灵活。给进、回拖为马达-链条机构，动力头回转采用双马达驱动，配有机载泥浆泵(180-240L/min)和开放式控制室……
恒天九五JVD-450水平定向钻,电路简单，故障率低；2、采用高性能合金钢齿轮齿条推拉，效率高，工作平稳；3、先进的液压系统比传统液压系统提高15-20%的工作效率，减少系统中的发热量50%，可节能15-20%；4……
钻通ZT-45型非开挖铺管钻机,……
徐工XZ160A水平定向钻,?动力头转速高：动力头转速高，可确保钻机铺管效率提高。?双速动力头：钻进、回拖时低速运行，确保顺利施工；接卸钻杆空载往返时，动力头可加速滑动，减少辅助时间，提高工作效率……
华力重工HL515B水平定向钻,HL515B水平定向钻机采用一体式设计，整机结构布置合理、做工精细、造型美观、采用先进的自动换杆技术和电液控制技术，操作便捷，产品设计新颖、独特，技术达到国际先进水平……
德威土行孙DDW—450B水平定向钻,该钻机为橡胶履带底盘装载，移动灵活……
徐工XZ320A水平定向钻,·动力强劲：采用160/140kW大马力发动机，保证钻机能在各种复杂地质条件下，完成铺管作业……
中海恒通HT-20C/16C非开挖定向钻机,HT-20C钻机特点&gt;&gt;1.二轮主机机动性强，在工地间转移时，由3-4人可轻松推动，远优于滑橇结构;2.滑架推进机构采用快慢速两档，提高空载作业效率;3.推进滑板为滚轮……
德航重工DH380B-L水平定向钻,……
威猛D24X40a水平定向钻机,"长度 203"" (516cm) 宽度 79"" (201cm) 高度 85"" (216cm) 操作重量 16,600 lbs (7,530 kg) 最大主轴扭矩 4,000ft-lb……"
钻通ZT-25CDF型非开挖铺管钻机,ZT-25CDF型定向钻进铺管钻机回转系统采用无级调速，闭式液压系统，回转泵采用美国sauer泵，可靠性高，回转马达采用美国sauer大扭矩单马达……
徐工XZ5000水平定向钻,·发动机标选用原装进口VOLVO电喷发动机，燃油消耗率低，双发动机功率高达788kW，保证钻机能在各种复杂地质条件下使用，完成铺管作业，单一发动机可完成整车的全部动作……
德威土行孙DDW-230水平定向钻,该定向钻机为自行式橡胶履带底盘，移动灵活。给进、回拖为马达-链条机构，动力头回转采用双马达驱动，扭矩大，配有机载泥浆泵(250L/min)和开放式控制室……
中海恒通HT-16L/20L非开挖定向钻机,2012新款HT-20L钻机新增特点 &gt;&gt;钻机回转和推进动作速度都可实现无极调节，任意组合，根据钻孔条件需要，两操作手柄可任意停在合适的速度位置……
德航重工DH320B-L水平定向钻,……
德威土行孙DDW-600A水平定向钻,该钻机为钢制履带底盘，机动力强，适合野外施工。钻架采用齿轮-齿条结构实现给进、回拖工况;液压系统采用变量系统更加节能。控制系统广泛采用电-液控制等先进的控制方式……
中海恒通HT-58L非开挖定向钻机,2012新款HT-58L钻机新增特点&gt;&gt;2012新款钻机增设动力分配箱，增加液压动力源，钻孔参数与功率更加匹配，提高作业效率和功率利用……
德航重工DH550B-L水平定向钻,……
威猛V1400水平定向钻机,V1400水平导向钻机，配备行业先进的功能和功率，V1400专为大型工程而设计……
恒天九五JVD-320水平定向钻,水平定向钻机是基于先进的“非开挖技术”理念设计开发的新型地下管道施工工程机械，该设备采用全液压及动力驱动技术，实现钻具的推进、回转、回扩、回拖及行走装置驱动等功能，主要用于穿越铁路……
钻通ZT-60D型非开挖铺管钻机,ZT-60D型定向钻进铺管钻机的液压件(包括油泵、压力阀、油管、快速接头等)均为原装进口产品，柴油机为康明斯柴油机，动力强劲，性能可靠……
徐工XZ500水平定向钻,?液压系统：采用了闭式节能回路、液压先导控制、电液比例控制等多项先进的控制技术。?回转：马达加减速机驱动，两档速度可调。?推拉：齿轮齿条推拉，两档调速，工作效率高……
华力重工HL532B水平定向钻,该装备采用全液压控制及动力驱动技术，实现钻具的回转、推进、回扩、回拖及行走装置的驱动等功能，主要用于穿越公路、铁路、建筑物、河流，以及在闹市区、文物保护区、农作物和植被保护区等不易……
德威土行孙DDW-1600水平定向钻,该定向钻机为钢制履带底盘，同时可选配橡胶板方便城市施工。钻架可滑移，使钻进角度调节范围大;双马达驱动动力头，扭矩大;采用齿轮齿条给进机构，两档无极调速，工作效率高……
中海恒通HT-25L非开挖定向钻机,2012新款HT-25L钻机新增特点&gt;&gt;钻机回转和推进动作速度都可实现无极调节，任意组合，根据钻孔条件需要，两操作手柄可任意停在合适的速度位置……
德航重工DH150B-L水平定向钻,……
威猛V6000水平定向钻机,威猛钻机采用可以同时达到最大转速和最大旋转扭矩/低转速液压马达。■直接驱动:更高的效率意味着更少的功率损失和油耗■底部虎钳威猛钻机提供两种虎钳选择，适应用户的不同需求……
钻通ZT-60F型非开挖铺管钻机,……
徐工XZ680水平定向钻,XZ680水平定向钻技术特点：主泵、主阀、马达均选用国际名牌产品。减速机选用国际牌产品，承载扭矩大，安全系数高，使用寿命长。自带泥浆泵，操作简单、便捷。可选装摄像头，视野开阔……
